              disk0       cpu
    KB/t  tps  MB/s  us sy id
    5.65  191  1.05   5  2 92
    8.59  101  0.85   8  3 89
    8.39   72  0.59  12  4 84
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   20.98   86  1.75   7  3 90
    7.11    9  0.06   6  2 91
    6.59  431  2.77   7  3 90
   13.42   79  1.03   7  3 90
   23.57  137  3.16  10  6 84
   19.50  799 15.22   9  6 85
    7.58   19  0.14   5  3 92
   11.25   32  0.35   7  3 90
   13.61   57  0.75  20  4 75
   12.00   24  0.28  13  4 83
    8.42   19  0.16   7  3 90
    6.40    5  0.03   6  2 92
    6.48  204  1.29  12  8 80
   16.42  440  7.05   9  3 88
   10.00   34  0.33   7  3 90
   25.23   94  2.31   8  6 86
    4.94   17  0.08   6  3 91
    7.37   38  0.27   6  2 92
   10.67   15  0.16   8  4 89
    8.33   24  0.19   8  3 90
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    5.99  168  0.98   7  6 87
   11.89  187  2.17   6  5 89
   10.32   19  0.19   6  3 91
   13.77   79  1.06   8  4 88
   26.53  333  8.64   8  4 88
    8.67   54  0.46   9  5 86
   14.32   31  0.43   6  3 92
   11.53   43  0.48   6  3 92
    5.43  212  1.12   6  3 91
    7.70   27  0.20   7  3 90
    7.81   21  0.16   6  3 90
    8.00   22  0.17   6  2 91
    9.85   13  0.12   5  2 92
    9.37   76  0.69   8  3 89
   13.00    4  0.05   5  3 92
   19.37  190  3.60   8  6 86
   41.75  280 11.43  18  8 74
   33.36  275  8.95  23  7 69
   27.12   32  0.84  21  4 75
    9.23   26  0.23   9  3 88
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   15.53   51  0.77  13  5 81
   12.86  237  2.97  27 10 64
    7.48   31  0.23  11  4 85
   15.26  493  7.35   9  4 87
    8.17   72  0.57   7  4 89
    9.80   98  0.94   8  5 86
    8.00    5  0.04   7  4 89
    8.08   50  0.39   7  3 90
   10.00    2  0.02   8  3 89
    7.54   35  0.26   9  3 88
   18.18  887 15.74   7  7 86
    9.26  209  1.89   6  4 90
    7.76   34  0.26  14  6 80
    6.98  497  3.39  10  4 87
    6.40   95  0.59   7  3 89
   10.97   39  0.42   8  5 87
    8.00    7  0.05   6  3 91
    7.94   67  0.52   8  3 89
    6.22    9  0.05   7  3 91
    7.92  250  1.93  10  4 86
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    7.69  243  1.83   7  3 90
    5.87  286  1.64   6  3 91
   11.50  403  4.52  29 15 56
   20.95 2868 58.67  29 17 54
   33.31  559 18.17  21 11 68
   21.26  754 15.67  13  7 80
    8.70  529  4.49   8  4 88
   42.46  124  5.16   7  3 90
   37.09   22  0.79   8  4 88
    8.44   54  0.44  10  4 86
    8.00   14  0.11   7  3 90
   10.00   16  0.16   6  2 92
    5.70  120  0.67   6  3 91
    6.30   33  0.20   7  4 89
   20.11  218  4.28  13  4 83
   18.41  117  2.11  14  5 81
   58.12  102  5.76   7  5 88
   47.55   44  2.03   6  3 91
    7.43    7  0.05   7  4 89
    6.50   32  0.20   7  3 91
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   18.40  610 10.96   7  9 84
    8.00   21  0.16   6  3 92
    8.17   23  0.18   6  2 91
   48.22  178  8.36   8  5 87
   25.49  354  8.82   9  5 86
    9.47   68  0.63   8  5 88
   16.00    1  0.02   5  2 93
   10.87   46  0.49  14  4 82
    9.80   20  0.19  10  2 87
    9.06  826  7.31   8  4 88
    4.89    9  0.04   7  3 90
    9.23   26  0.23   6  3 91
    9.33   12  0.11   6  2 91
   40.31   77  3.02   6  3 90
   14.11   53  0.73   7  4 89
   17.06  150  2.50   8  6 86
   14.17   59  0.81   9  5 86
   24.27  206  4.88  13  6 81
    4.00    2  0.01   7  3 89
    7.33   18  0.13   7  3 90
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    4.00   32  0.12  10  4 87
    9.70   66  0.62   7  3 89
    8.33   48  0.39   7  3 91
    8.22   55  0.44   8  3 88
   20.31   13  0.26   7  4 90
    8.33   73  0.59   9  5 85
    6.00   12  0.07   6  3 91
    9.22   36  0.32   7  3 90
    0.00    0  0.00   7  3 90
   17.91 9163 160.24  13 10 77
   28.74 10358 290.72  13  9 78
   16.54 8808 142.23  12  5 82
   16.55 8880 143.51  12  5 83
   15.81 9025 139.37  12  5 82
   17.13 9089 152.06  14  6 80
   16.00 9505 148.53  15  7 78
   16.17 9069 143.23  13  7 80
   16.34 8968 143.09  15  6 79
   16.37 8710 139.24  12  5 82
   16.34 9024 143.97  13  5 82
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   16.38 9171 146.66  15  7 78
   16.24 9454 149.90  15  5 80
   16.57 9533 154.21  14  7 79
   16.90 5854 96.59  45  5 50
   14.50  187  2.64  24  7 68
   19.16  879 16.44   8  6 85
    8.80   15  0.13   6  4 91
   10.06   31  0.30   8  3 89
   17.58  275  4.71   7  3 90
    8.62   13  0.11   7  3 91
    0.00    0  0.00  10  3 87
    9.23   26  0.23   7  3 90
   36.24  263  9.30   7  5 88
   35.95   76  2.66   9  4 87
   14.30   87  1.21   5  3 92
    6.86  337  2.26   8  5 88
   10.68  124  1.29   5  3 92
   37.97   67  2.47   8  4 87
   14.50   16  0.23   5  2 93
   34.00   54  1.78   6  3 90
              disk0       cpu
    KB/t  tps  MB/s  us sy id
  224.55 3022 662.67   8 10 82
   12.60   40  0.49  10  4 86
   10.00   48  0.47   8  3 89
    7.26  156  1.10   9  4 87
   13.13   78  1.00   6  4 90
   21.40  364  7.61   8  5 87
    7.16   38  0.26   5  2 93
   12.29   69  0.82   7  4 89
   16.00    4  0.06   7  3 90
   11.03   29  0.31   7  3 91
    7.81  744  5.67  11  9 80
    9.63  734  6.90  12  9 79
    8.37  346  2.83  15  6 80
   11.37   19  0.21  18  3 79
    7.36   25  0.18  18  3 79
   19.61  173  3.30  20  6 74
   16.71   56  0.91  13  3 84
   65.50   32  2.04   7  3 90
    7.73   15  0.11   6  3 91
    8.00   19  0.15   6  3 91
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    4.53   45  0.20  11  4 85
   16.37  228  3.64  23 15 63
   18.57  123  2.23  12  5 84
   10.32   19  0.19   7  4 89
   17.70  587 10.16   9  5 86
   35.35  301 10.41  10  6 84
    6.04   53  0.31   7  3 89
    8.76   21  0.18   9  3 88
   13.78    9  0.12   7  3 90
    5.55  218  1.18   8  3 89
   28.80  351  9.88   9  8 84
    8.20   20  0.16   6  3 91
   11.51   41  0.46   7  3 90
    4.81  672  3.16   6  3 91
   17.71   42  0.72   7  4 90
    9.80   40  0.38   7  4 88
    6.38   32  0.20   6  2 92
   10.17  314  3.12   7  3 90
  206.22    9  1.81   6  3 92
    8.39   92  0.75   8  5 87
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    7.84  223  1.70  10  3 87
    8.90  120  1.04   8  3 89
   16.47   43  0.69   9  5 86
   12.96  379  4.80   7  5 88
   16.41  460  7.37  11  8 81
   12.31 1805 21.70  10  8 82
    9.53   89  0.83   7  4 89
    9.73   44  0.42  10  4 86
   70.40   10  0.69   6  3 90
    8.80   30  0.26   6  3 91
    0.00    0  0.00  10  4 86
   11.60   30  0.34   8  3 88
    8.12   34  0.27   7  3 89
   11.24  147  1.61   7  3 91
   16.86   28  0.46   5  3 92
    6.24  143  0.87   9  6 85
   11.82   87  1.00   5  3 91
    9.79   38  0.36   9  4 87
    4.00    2  0.01  11  4 85
    9.55  172  1.61  11  5 84
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    8.84  950  8.21   8  7 85
   15.70  174  2.67  30  7 63
   14.00    8  0.11   7  4 90
    9.06   94  0.83  24  5 71
   40.97  173  6.93   6  4 90
   31.53 1472 45.32  14  9 77
   12.00    2  0.02   9  5 86
   26.06  319  8.11  14  7 79
   21.21  231  4.78  12  8 80
   15.75   81  1.24   8  4 88
    5.75  310  1.74   7  3 90
   34.20  415 13.85   8  5 87
   10.24   50  0.50   7  3 90
   30.28  345 10.20   7  3 89
   15.04   67  0.98   8  4 88
   19.69  570 10.95   9  7 84
   10.13   30  0.30   7  4 89
   10.33   67  0.67   8  3 89
   14.55   69  0.98   8  3 89
   10.50   32  0.33   7  4 89
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    8.08  148  1.17   9  4 87
   14.70  272  3.90   9  4 87
   15.18 2334 34.60  13  8 79
   14.68  235  3.37   8  3 89
   11.46   81  0.90  10  5 85
    8.96  100  0.87  13  6 81
   81.14    7  0.55   6  3 91
   11.66   35  0.40   7  4 89
   29.36   53  1.51  10  5 86
   20.33   49  0.97  13  5 82
   16.47 1532 24.64  19 10 71
   11.72 2518 28.83  30 15 55
    5.39  890  4.68  11  5 84
   15.17   82  1.21   7  3 90
   14.56   50  0.71   6  2 92
    8.62  110  0.92   8  5 87
   10.15   26  0.26   7  3 91
   14.96  207  3.03  16  6 79
   12.60   87  1.07  15  5 80
    9.10   40  0.35  13  5 82
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    7.90  359  2.77  11  3 86
    9.54  183  1.71   8  3 88
   11.11    9  0.10   7  3 91
   39.69  587 22.76  10  6 84
   47.13  283 13.03  10  5 85
   28.48  334  9.29   9  6 86
   16.87   23  0.38   5  3 92
    8.22  221  1.78   7  3 90
   10.92   26  0.28   9  4 87
    8.80   20  0.17  17  6 77
   12.13  599  7.09  19  5 75
    7.92   96  0.74  13  4 83
   10.00   54  0.52   7  3 89
   13.26   54  0.70  11  9 79
   21.31   58  1.20   6  3 90
    9.70   87  0.82   7  4 89
    9.33    9  0.08   5  2 93
    5.80  246  1.39   7  3 90
    9.60   10  0.09   6  2 92
    6.78  105  0.69   7  4 89
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   16.50  249  4.00   6  4 89
   18.46  124  2.24   9  3 88
   10.00   10  0.10   7  2 90
    7.09   53  0.37   7  3 90
   12.47   17  0.21   8  4 89
    7.74   47  0.35   8  5 87
   11.57   28  0.32   6  3 92
   13.52   42  0.55   6  3 91
    9.33   12  0.11   5  2 93
   11.64   11  0.12   6  3 91
   12.33   12  0.14   6  2 92
    9.44   36  0.33   6  2 92
   13.32  229  2.98   6  3 92
    8.38   21  0.17   4  2 94
   11.75   16  0.18   7  3 90
   10.94  106  1.13   8  5 88
    9.60    5  0.05   6  3 92
   11.16   38  0.41   7  2 91
    8.53   15  0.12   6  2 92
    8.43   28  0.23   7  3 89
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    4.00    2  0.01   8  3 88
    8.96   25  0.22   6  2 92
    0.00    0  0.00   6  3 92
    9.14   21  0.19   5  2 92
    6.97   39  0.26   6  3 91
    6.00   30  0.17   8  5 86
    8.67   18  0.15   6  3 92
   10.00   16  0.16   6  2 92
    7.38   13  0.09  13  5 82
   18.50  776 14.02  24 10 66
   12.67    6  0.07   7  3 90
    8.30   40  0.32   8  4 88
    7.19  181  1.27  17  6 76
   20.28   29  0.57  19  6 75
   22.00   42  0.90  10  5 86
    9.35   86  0.78  12  6 81
   11.84   25  0.29   8  4 88
   14.13   94  1.29  21  7 72
    6.37  284  1.77  24  8 68
   16.44  388  6.22  15  6 78
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   10.88  366  3.89  19  6 75
   18.13   47  0.83  15  6 79
   30.57   14  0.42   7  3 90
   20.69   29  0.58  11  5 84
   12.39  289  3.50   9  5 86
    9.08   48  0.42   8  5 88
    8.40   20  0.16   6  3 91
   11.43    7  0.08   9  4 87
   11.72   29  0.33   9  4 87
   10.75  175  1.84  10  4 87
   10.18   11  0.11   8  3 89
   11.23   26  0.28   9  3 89
    6.22    9  0.05   8  4 88
    7.58   19  0.14   8  3 89
   10.29    7  0.07   7  4 88
    8.18   22  0.18  11  5 84
    9.78   18  0.17   8  4 88
    8.28  126  1.02  11  6 83
   10.67   12  0.12  11  5 84
   12.43  346  4.20  10  8 82
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   11.71   14  0.16   8  3 89
   10.11   19  0.19   6  2 92
   16.00   23  0.36   8  4 88
    6.80   10  0.07   7  3 90
    9.67   12  0.11   7  4 90
    8.27   30  0.24   8  4 88
   11.76   33  0.38   6  3 90
   20.57   35  0.70   7  3 90
    7.53 2437 17.93  12  7 82
    7.88   32  0.24   9  5 86
   59.39  726 42.12  16  5 79
    6.61   46  0.30   7  3 90
    5.82  129  0.74  12  5 83
  265.71    7  1.81  10  4 86
   23.84   51  1.18  10  6 84
    6.47  452  2.86   8  4 88
    6.26  128  0.79   7  3 90
   16.00    1  0.02   7  3 90
    9.08   37  0.33   8  4 88
    0.00    0  0.00   5  2 93
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   11.21  162  1.78  12  7 80
    8.63   38  0.32  12  4 84
   11.79   19  0.22  10  5 85
   24.00    2  0.05   8  4 88
   12.25   16  0.19  10  6 84
    6.44   41  0.26  10  5 85
   10.17   24  0.24   7  3 90
    8.80    5  0.04   8  3 88
    8.25   16  0.13   8  4 88
   12.81  370  4.63   8  8 84
   11.00   32  0.34   9  4 87
   12.71   28  0.35   8  4 88
    7.57  177  1.31   7  3 90
    6.67    9  0.06   6  3 91
    9.14   21  0.19  10  6 84
    7.29   17  0.12   7  4 90
   10.15  146  1.45   6  3 91
    8.00    2  0.02   6  3 92
   14.97   35  0.51   7  3 90
    8.00    7  0.05   8  3 88
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    8.56  127  1.06  11  5 84
   10.18   11  0.11  17  4 79
   12.00   83  0.97   8  4 88
   19.62   21  0.40  11  4 85
   19.25 1262 23.72  27 16 57
   23.42  378  8.65  13  7 80
   11.31   70  0.77  12  5 83
    7.37  289  2.08  12  7 81
    6.50   40  0.25  25  6 69
   12.38   21  0.25  11  4 85
   14.02  124  1.70  15  6 79
   16.17  238  3.75  29  6 65
   21.71  195  4.14  20  7 73
   10.17  104  1.04   9  4 86
   29.94  100  2.94  37  8 55
    9.29   56  0.51   7  5 89
    7.90   39  0.30  15  6 79
   12.29   14  0.17   9  4 88
    6.02  173  1.02   6  3 90
   12.55  305  3.74   8  8 83
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    7.59   68  0.50   9  4 86
   22.00   40  0.85  27  6 67
    6.42   43  0.27  13  5 82
    7.43    7  0.05   8  3 88
   14.04  108  1.47   8  5 86
    8.12   68  0.54   6  3 91
    8.88  230  2.00   8  4 88
    4.63  178  0.81   7  4 89
    8.42   19  0.16   7  3 89
    6.40    5  0.03   7  3 90
    9.38   29  0.26  23  4 72
    5.19   64  0.32  22  5 73
    5.75   57  0.32   6  3 90
    4.00    1  0.00   6  3 91
   18.78  150  2.76  13  7 80
    6.40   15  0.09   9  5 86
   17.07  171  2.85  13  6 82
   25.00    4  0.10  12  6 82
   23.70   40  0.92  11  5 84
   12.29   56  0.67  21  5 74
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    5.53  229  1.24  13  4 83
    9.49   51  0.47   8  3 89
   13.85   26  0.35  10  4 86
    5.27   91  0.47  10  5 85
    7.99 1109  8.65  11  7 83
   10.00    2  0.02   8  4 89
    6.55  105  0.67  12  5 83
    8.00   10  0.08   6  3 91
    8.92   13  0.11   5  2 92
   11.08  372  4.03   6  7 86
    6.45  236  1.49   8  3 89
    9.07   30  0.26   7  2 91
    4.88  616  2.93   8  4 88
    0.00    0  0.00   9  5 86
    5.18  128  0.65  10  6 84
    5.67   12  0.07   5  3 92
   34.34  331 11.11  16  6 78
   17.70   54  0.93  22  5 74
   14.74   38  0.54  19  5 76
   68.77  185 12.44  15  5 80
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    6.32  259  1.60  12  5 84
    7.90  116  0.89  10  4 85
   13.40 1203 15.74  16  9 75
   17.12  935 15.64  20 13 67
   11.09  325  3.52   8  6 86
   10.69 2866 29.93  22 11 67
    8.93   73  0.63   8  3 88
    8.77   31  0.26   7  3 90
    9.39   23  0.21   6  3 91
   16.00    2  0.03   7  3 90
    6.77  330  2.19   9  3 88
    8.28   43  0.35   7  3 90
    8.73   22  0.19   7  2 90
   13.31   64  0.83   5  2 93
    7.26   43  0.30   9  6 86
   10.00    2  0.02   8  3 89
   10.23   43  0.43  10  4 85
    9.43   28  0.26  25  5 70
    7.56   18  0.13  10  5 85
   10.35  666  6.73  12  9 78
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    7.92  103  0.79  11  4 85
   19.18   49  0.91  12  5 84
    8.62   13  0.11   9  4 87
   10.40    5  0.05   6  3 91
    8.23   35  0.28   8  5 87
   12.47   17  0.21   6  3 91
   10.95   42  0.45   8  6 86
    5.82  184  1.05   6  3 91
   18.85   66  1.21   8  3 89
    6.69   70  0.45   7  3 90
    8.44   27  0.22  10  4 85
    8.73   11  0.09   6  3 91
   11.86   29  0.33   7  3 90
    4.00    5  0.02   6  3 91
    7.26   38  0.27   9  5 86
   10.00    2  0.02   7  4 89
    9.91   23  0.22   7  3 90
    0.00    0  0.00   6  3 91
    8.59   27  0.23   9  4 87
   35.00   20  0.68  10  5 85
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   20.09  131  2.56  16  6 78
   26.86   14  0.37  12  5 83
    5.76  237  1.33  10  5 85
   23.62   21  0.48  10  4 86
    8.53   38  0.32  13  7 81
   10.00    2  0.02  11  5 84
    8.69   29  0.24  10  4 85
    0.00    0  0.00   9  4 86
   12.31   26  0.31  12  5 83
   12.15  316  3.75  10  9 82
    9.74   23  0.22  11  5 84
    6.13  140  0.84  12  5 84
   14.35   17  0.24  11  5 84
    0.00    0  0.00   7  3 91
    6.93   41  0.28  10  6 84
    9.18   17  0.15   8  4 89
   17.00   20  0.33  11  5 84
    4.00    1  0.00   9  3 88
    9.60   15  0.14  12  4 84
    5.86  263  1.50  10  4 87
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    7.76  180  1.37  12  4 84
    8.73   11  0.09  10  4 86
    7.23   26  0.18  13  4 83
   19.09  341  6.35  15  4 81
   12.87  330  4.15  19  5 76
   12.86   42  0.53  12  4 84
    9.56   18  0.17   9  3 88
   64.00    1  0.06   9  4 87
   11.53   17  0.19   9  3 88
   24.19   21  0.49   8  3 89
    9.81  108  1.03  12  4 84
   10.71   31  0.32  12  4 84
    5.74  211  1.18   8  4 89
    0.00    0  0.00  10  3 87
    8.13   31  0.24  15  5 80
    9.71    7  0.07   6  3 91
    8.00   14  0.11  10  3 87
  123.75   16  1.92   6  3 91
   10.54  284  2.92  12  6 82
   14.66  181  2.59   6  6 88
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   12.24   33  0.39   8  3 89
   10.67   27  0.28  10  3 87
    9.90   21  0.20   8  3 88
    4.00    1  0.00  12  4 83
    8.00   29  0.23  11  6 83
    8.50    8  0.07   6  3 91
    8.00   14  0.11   8  3 89
    4.00    1  0.00   7  3 90
    8.74  150  1.28   9  4 87
    0.00    0  0.00  11  4 85
    9.41   34  0.31  11  4 86
  112.00    1  0.11  10  4 86
   11.57   28  0.32  10  4 86
    0.00    0  0.00   9  4 87
   15.59   29  0.44   8  5 87
    9.00    8  0.07   7  4 89
    9.66   29  0.27   8  6 86
    5.52  129  0.69   6  3 91
   11.20   30  0.33   6  3 91
    0.00    0  0.00   8  4 88
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    8.53   15  0.12  10  3 88
   18.90  188  3.48  13  5 83
   23.24  131  2.98  11  4 85
    5.56  204  1.11   9  4 87
    8.84   57  0.49  13  6 81
    8.50    8  0.07   8  3 88
   37.04   23  0.83  12  5 83
   14.84   45  0.65  10  3 87
    7.16  298  2.08   9  7 84
   12.54  222  2.72  11  6 83
   10.93   30  0.32  10  4 87
    7.37   63  0.45  24  4 71
    8.62   32  0.27  10  4 86
    4.60   20  0.09  14  5 81
   10.91  198  2.11  32 11 56
    9.93   54  0.52  11  5 84
    5.33   66  0.34  11  5 84
    8.12  159  1.26   7  3 90
    9.71   42  0.40  12  5 84
   12.00   24  0.28   9  4 88
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    7.77  176  1.34  19  7 75
    8.80   15  0.13  12  5 83
   25.52   87  2.16  18  6 76
    7.31  753  5.37  17  6 77
   12.62  127  1.57  12  7 82
    8.24   49  0.39   9  4 87
    8.46   26  0.21   9  4 87
   42.00    2  0.08  10  5 85
   10.29   14  0.14  10  3 87
    5.03  204  1.00   7  4 89
   15.14   70  1.03  11  4 85
    0.00    0  0.00   9  4 87
    9.17   58  0.52   8  3 88
    6.53  125  0.79  10  4 86
    7.81   42  0.32  13  6 80
   12.31  142  1.71  11  5 85
    8.73   11  0.09  11  5 84
   18.00   34  0.59  10  4 86
   12.24  390  4.66   8  9 83
   11.78   36  0.41   8  5 87
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   10.00   40  0.39  27  8 65
   10.00    2  0.02  13  5 82
   10.72   50  0.52  24  8 68
    5.09  124  0.62  15  5 80
    6.62   64  0.41  19  8 72
    8.41  154  1.27   8  4 87
    9.90   21  0.20   7  3 90
   11.00   16  0.17   6  3 90
    7.75   16  0.12   6  6 88
   58.55   22  1.25   6  3 91
    9.12   32  0.28   8  2 90
    0.00    0  0.00   6  2 92
   14.00   48  0.65   9  3 88
    8.00    3  0.02   7  3 90
    6.27  247  1.51  10  7 83
    8.50    8  0.07   6  3 91
    8.62   13  0.11   6  3 91
   20.00    4  0.08   7  3 90
   10.12   17  0.17   7  3 91
   12.80   25  0.31   6  3 91
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    8.92   26  0.23   7  2 90
    5.25  166  0.85   6  3 91
    9.60   20  0.19   6  3 91
    6.84  134  0.90   6  3 92
    7.27   33  0.23   8  5 88
    5.47  165  0.88   6  3 91
   12.33   12  0.14   6  3 91
   15.44   71  1.07   7  2 91
   12.88  304  3.82   8  8 85
    8.36   22  0.18   7  3 90
   13.69   26  0.35  11  4 86
    7.31   81  0.58   9  4 87
   13.40   20  0.26  26  7 67
   10.67    9  0.09  12  6 82
    8.24   49  0.39  13  7 80
    8.70   63  0.53  17  6 77
    7.20   20  0.14  13  5 82
    6.91   11  0.07   9  4 88
    7.73   15  0.11  10  5 86
    7.29   34  0.24  12  4 84
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    6.92  224  1.51  11  4 85
    4.00    3  0.01  10  4 86
   13.06  123  1.57  13  5 82
   12.44   54  0.65  12  5 82
   19.02   53  0.98  27 10 63
    6.67   18  0.12  15  6 79
    7.86  277  2.12  21  7 72
   14.45   49  0.69  11  5 84
   13.53   86  1.13  15  6 78
   10.91   33  0.35  25  6 69
    8.97   37  0.32  12  5 83
   18.73   41  0.74  20  5 75
    9.23   26  0.23  16  3 80
    9.70   40  0.38  11  5 84
   10.48  692  7.08  37 14 50
   27.08  985 26.04  22  8 70
   12.95   21  0.26  13  9 79
    4.00    3  0.01  13  7 80
   30.99  380 11.49  14  9 78
    7.42  116  0.84  28  8 64
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    7.38   39  0.28  10  4 86
    9.04  237  2.09   9  4 88
   26.36  228  5.87   9  4 87
   32.48 1144 36.30  48  8 43
    9.05  430  3.80  20  8 72
   40.48  621 24.54  18  7 75
   30.72   25  0.75   9  5 86
    8.67   30  0.25  11  5 84
    9.88  255  2.46  10  4 85
    8.89   18  0.16   8  4 89
   20.22  254  5.01  15  4 81
   23.53   60  1.37  12  4 83
   23.08  129  2.91  15  6 80
   17.09  793 13.24  15  6 79
   11.47 1964 22.01  36 17 48
   26.24  908 23.27  28 10 62
   13.73  285  3.82  21  5 73
   13.98  252  3.44  14  4 82
    5.86  525  3.00  10  4 85
    9.09   44  0.39   8  3 90
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    8.00   36  0.28   9  3 88
   10.75   32  0.33  14  5 82
   14.75  146  2.11   5  2 92
    8.69   35  0.30   8  3 89
    6.46   39  0.24   7  5 89
    5.81  288  1.63   7  4 89
    0.00    0  0.00   6  3 92
    8.00   12  0.09   6  3 92
   18.97  286  5.29   6  7 87
   15.52   50  0.76   6  3 91
    5.79  135  0.77  17  3 80
    4.64  497  2.25   6  3 90
   11.64  176  2.00   6  3 91
    9.04   27  0.24  14  3 83
    6.24   41  0.25   9  5 86
   10.64   56  0.58  10  4 85
   13.27  104  1.34  22  8 70
    8.43 1354 11.15  21 11 69
  123.54  111 13.45  22  6 71
    6.00  380  2.23  14  5 82
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   11.04  208  2.24  19  5 76
   20.47  144  2.89  11  6 84
    5.37  215  1.13  10  5 85
   11.16   38  0.41   7  3 90
   13.87  224  3.03  17  5 78
   21.31   67  1.39  15  4 81
   10.00   38  0.37   7  4 89
    9.33   12  0.11   7  3 90
    0.00    0  0.00   9  3 88
   10.45   31  0.32   6  3 91
    7.54  183  1.35   9  3 88
    7.09   22  0.15  21  3 76
    6.25  340  2.07  11  5 84
    6.35  121  0.75  12  5 83
    8.75  176  1.51  30 10 61
    9.12   32  0.28  12  6 83
   10.00   12  0.12  10  4 86
    5.67  260  1.44  10  4 85
   14.32  349  4.88  12 10 78
   14.60  320  4.56  15  7 78
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   13.78    9  0.12   9  4 87
    8.14  201  1.60   7  4 89
   16.90  198  3.27  14  3 83
   35.52 1235 42.84  18  8 74
   13.11   61  0.78  11  6 84
   20.45  231  4.61  10  6 84
   19.80  215  4.16  12  6 82
   20.24  285  5.63   9  4 87
    8.25   16  0.13   9  4 87
   16.79   66  1.08  11  5 84
    8.80   15  0.13   9  3 88
   17.79   56  0.97   8  4 88
    9.71    7  0.07   7  3 90
   14.22   18  0.25   8  3 89
   11.91  226  2.63  19 10 71
   11.56   27  0.30  15  6 79
   20.71  203  4.11  11  5 84
   15.39  493  7.41   8  5 88
   18.00   14  0.24   7  3 90
   15.00  258  3.78   9  4 87
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    7.67   36  0.27   9  3 88
    9.00   32  0.28   6  2 92
    8.80    5  0.04   5  3 92
   10.13   15  0.15   6  3 91
    8.05   73  0.57   9  5 87
   15.44   93  1.40   8  4 88
    0.00    0  0.00   7  3 90
    7.32  224  1.60  11  5 84
   17.13  236  3.95  10  8 82
   18.32  511  9.13  11  5 84
   14.68  944 13.54  13  8 79
    6.43 1159  7.28  11  6 82
    6.56  180  1.16  10  5 85
   13.48   62  0.81   8  5 87
    7.65   79  0.59  16  7 78
   10.71  123  1.29   9  5 86
    4.99  213  1.04   5  3 92
   10.18   11  0.11   6  2 92
    5.98  126  0.74   6  3 91
   12.00   96  1.12   8  3 89
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   12.25  130  1.55  12  4 84
   13.18  141  1.82  10  4 85
    8.50    8  0.07   8  4 89
    9.71   14  0.13   9  5 86
    9.62   32  0.30  11  5 84
   12.40   40  0.48  13  5 81
    8.00    2  0.02  16  5 80
    9.89   36  0.35   8  3 88
    0.00    0  0.00   7  2 90
    8.72   39  0.33   8  4 88
    9.60   10  0.09  11  4 85
    8.65   37  0.31  10  4 86
    6.00   12  0.07  10  4 87
    8.21   19  0.15   9  5 86
    8.06  337  2.65  14  6 80
   32.08  650 20.36  46 11 42
    5.31   55  0.28  25  5 70
    8.66  222  1.88   9  6 84
   12.14  281  3.33   9  6 85
    6.72  158  1.04   7  3 89
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    0.00    0  0.00  11  4 86
    8.24   49  0.39   8  4 88
   10.24   25  0.25  12  5 84
   16.00   48  0.75   9  5 87
   18.40   85  1.52  19  4 77
    7.00  220  1.51  11  4 85
    5.60   30  0.16  10  4 85
    7.37  893  6.42  23  8 68
    8.64  854  7.20  17 10 74
    8.39  420  3.44  19  7 74
   19.88   32  0.62  26  4 69
    5.85  353  2.02  31  5 64
   19.27   71  1.33  23  8 69
    8.88   59  0.51  15  6 80
